id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
0,0.86428,-0.09912,0.1189,-39.40702,10.85696,45.71673,0.86428,-0.09912,0.1189,-39.40702,10.85696,45.71673,0.86428,-0.09912,0.1189,-39.40702,10.85696,45.71673
1,0.9407,0.00073,0.27467,-9.03348,1.236,-14.50392,0.9407,0.00073,0.27467,-9.03348,1.236,-14.50392,0.9407,0.00073,0.27467,-9.03348,1.236,-14.50392
2,1.03885,-0.02637,0.26197,-5.0737,7.72881,-21.49266,1.03885,-0.02637,0.26197,-5.0737,7.72881,-21.49266,1.03885,-0.02637,0.26197,-5.0737,7.72881,-21.49266
3,1.01907,-0.05908,0.22901,-3.96741,9.75066,-14.8854,1.01907,-0.05908,0.22901,-3.96741,9.75066,-14.8854,1.01907,-0.05908,0.22901,-3.96741,9.75066,-14.8854
4,1.06473,0.05054,0.32179,-21.04251,20.56948,50.77517,1.06473,0.05054,0.32179,-21.04251,20.56948,50.77517,1.06473,0.05054,0.32179,-21.04251,20.56948,50.77517
5,0.98196,-0.16529,0.21143,-18.07459,18.82992,53.97961,0.98196,-0.16529,0.21143,-18.07459,18.82992,53.97961,0.98196,-0.16529,0.21143,-18.07459,18.82992,53.97961
6,0.91702,-0.0459,0.19825,21.91229,-17.36503,18.62392,0.91702,-0.0459,0.19825,21.91229,-17.36503,18.62392,0.91702,-0.0459,0.19825,21.91229,-17.36503,18.62392
7,1.00076,-0.09131,0.21387,2.86874,-39.75036,25.34562,1.00076,-0.09131,0.21387,2.86874,-39.75036,25.34562,1.00076,-0.09131,0.21387,2.86874,-39.75036,25.34562
8,0.95657,-0.02857,0.23609,16.3274,-45.52599,3.99792,0.95657,-0.02857,0.23609,16.3274,-45.52599,3.99792,0.95657,-0.02857,0.23609,16.3274,-45.52599,3.99792
9,1.02225,-0.02637,0.20338,-10.17029,-17.3574,0.19837,1.02225,-0.02637,0.20338,-10.17029,-17.3574,0.19837,1.02225,-0.02637,0.20338,-10.17029,-17.3574,0.19837
10,0.97781,-0.08887,0.22413,9.72015,7.61437,-10.65859,0.97781,-0.08887,0.22413,9.72015,7.61437,-10.65859,0.97781,-0.08887,0.22413,9.72015,7.61437,-10.65859
11,0.99515,-0.08667,0.17774,1.61748,7.66015,-17.20481,0.99515,-0.08667,0.17774,1.61748,7.66015,-17.20481,0.99515,-0.08667,0.17774,1.61748,7.66015,-17.20481
12,0.99612,-0.09424,0.20826,-2.09052,3.74615,-18.22718,0.99612,-0.09424,0.20826,-2.09052,3.74615,-18.22718,0.99612,-0.09424,0.20826,-2.09052,3.74615,-18.22718
13,1.02396,-0.08106,0.21924,-3.64696,2.32704,-23.59081,1.02396,-0.08106,0.21924,-3.64696,2.32704,-23.59081,1.02396,-0.08106,0.21924,-3.64696,2.32704,-23.59081
14,0.97684,-0.08252,0.21656,-15.77807,9.30052,-15.72466,0.97684,-0.08252,0.21656,-15.77807,9.30052,-15.72466,0.97684,-0.08252,0.21656,-15.77807,9.30052,-15.72466
15,0.97366,-0.09033,0.1565,-21.46977,11.01718,-4.29548,0.97366,-0.09033,0.1565,-21.46977,11.01718,-4.29548,0.97366,-0.09033,0.1565,-21.46977,11.01718,-4.29548
16,1.01932,-0.07227,0.17188,-0.4883,27.75658,0.52644,1.01932,-0.07227,0.17188,-0.4883,27.75658,0.52644,1.01932,-0.07227,0.17188,-0.4883,27.75658,0.52644
17,1.04227,-0.06421,0.25758,-13.95459,16.06037,16.50288,1.04227,-0.06421,0.25758,-13.95459,16.06037,16.50288,1.04227,-0.06421,0.25758,-13.95459,16.06037,16.50288
18,0.99051,-0.06201,0.22779,-15.53392,11.56651,13.52733,0.99051,-0.06201,0.22779,-15.53392,11.56651,13.52733,0.99051,-0.06201,0.22779,-15.53392,11.56651,13.52733
19,0.96927,-0.02857,0.22242,-9.6057,14.32844,17.19718,0.96927,-0.02857,0.22242,-9.6057,14.32844,17.19718,0.96927,-0.02857,0.22242,-9.6057,14.32844,17.19718
20,0.93289,-0.01709,0.22926,9.15555,10.15503,11.2537,0.93289,-0.01709,0.22926,9.15555,10.15503,11.2537,0.93289,-0.01709,0.22926,9.15555,10.15503,11.2537
21,0.97195,0.01001,0.24293,29.62584,4.60067,-25.5974,0.97195,0.01001,0.24293,29.62584,4.60067,-25.5974,0.97195,0.01001,0.24293,29.62584,4.60067,-25.5974
22,0.98709,0.04736,0.23853,27.44377,-0.48067,-32.66243,0.98709,0.04736,0.23853,27.44377,-0.48067,-32.66243,0.98709,0.04736,0.23853,27.44377,-0.48067,-32.66243
23,0.98782,0.05542,0.28541,19.48607,2.05237,-34.42488,0.98782,0.05542,0.28541,19.48607,2.05237,-34.42488,0.98782,0.05542,0.28541,19.48607,2.05237,-34.42488
24,1.05936,0.11792,0.30103,21.30192,5.81378,-32.98288,1.05936,0.11792,0.30103,21.30192,5.81378,-32.98288,1.05936,0.11792,0.30103,21.30192,5.81378,-32.98288
25,1.07523,0.15162,0.34474,17.96014,8.9114,-16.49525,1.07523,0.15162,0.34474,17.96014,8.9114,-16.49525,1.07523,0.15162,0.34474,17.96014,8.9114,-16.49525
26,1.08426,0.14185,0.30226,28.88577,11.18503,-14.82437,1.08426,0.14185,0.30226,28.88577,11.18503,-14.82437,1.08426,0.14185,0.30226,28.88577,11.18503,-14.82437
27,1.16727,0.12842,0.26514,32.97525,13.71044,-10.41444,1.16727,0.12842,0.26514,32.97525,13.71044,-10.41444,1.16727,0.12842,0.26514,32.97525,13.71044,-10.41444
28,1.41948,0.16236,0.46022,34.47066,-2.15155,-25.91784,1.41948,0.16236,0.46022,34.47066,-2.15155,-25.91784,1.41948,0.16236,0.46022,34.47066,-2.15155,-25.91784
29,1.58916,0.12207,0.4966,37.54539,-1.46489,-43.71014,1.58916,0.12207,0.4966,37.54539,-1.46489,-43.71014,1.58916,0.12207,0.4966,37.54539,-1.46489,-43.71014
30,1.62456,0.07129,0.50246,56.8865,10.58992,-66.40065,1.62456,0.07129,0.50246,56.8865,10.58992,-66.40065,1.62456,0.07129,0.50246,56.8865,10.58992,-66.40065
31,1.49174,-0.06397,0.44118,47.89117,22.77444,-57.85546,1.49174,-0.06397,0.44118,47.89117,22.77444,-57.85546,1.49174,-0.06397,0.44118,47.89117,22.77444,-57.85546
32,1.30668,-0.24537,0.34913,14.93118,19.07407,-32.77688,1.30668,-0.24537,0.34913,14.93118,19.07407,-32.77688,1.30668,-0.24537,0.34913,14.93118,19.07407,-32.77688
33,1.15238,-0.3235,0.29005,-35.5388,29.51903,3.40281,1.15238,-0.3235,0.29005,-35.5388,29.51903,3.40281,1.15238,-0.3235,0.29005,-35.5388,29.51903,3.40281
34,1.03665,-0.23389,0.27076,-37.92688,31.06784,20.21088,1.03665,-0.23389,0.27076,-37.92688,31.06784,20.21088,1.03665,-0.23389,0.27076,-37.92688,31.06784,20.21088
